Rang,id,area_ha,area_km2,mean_suit,max_suit,annual_gwh,winter_gwh,gwh_per_ha,E_lv95,N_lv95
543,356,35.1,0.35,0.748,0.815,95.2,44.3,2.711,2758151,1180063
544,910,33.6,0.34,0.748,0.843,97.4,50.1,2.902,2763260,1143738
545,867,85.3,0.85,0.748,0.837,230.6,105.1,2.703,2729122,1147712
546,99,11.9,0.12,0.748,0.817,31.1,13.7,2.617,2765426,1197055
547,286,164.4,1.64,0.748,0.838,465.0,232.4,2.829,2791568,1183627
548,68,359.1,3.59,0.748,0.854,968.2,466.0,2.696,2786656,1199744
549,628,153.3,1.53,0.748,0.851,434.1,207.7,2.831,2744534,1163808
550,863,42.9,0.43,0.748,0.836,122.1,60.2,2.847,2767006,1148940
551,764,13.4,0.13,0.748,0.81,37.0,18.3,2.769,2764257,1157655
552,892,10.2,0.1,0.748,0.871,27.4,12.5,2.673,2737287,1145506
553,213,80.2,0.8,0.748,0.85,223.0,108.7,2.781,2789754,1188348
554,1015,17.5,0.18,0.748,0.821,47.5,20.4,2.712,2724900,1127244
555,66,201.1,2.01,0.748,0.861,554.0,273.5,2.755,2828110,1199685
556,969,26.2,0.26,0.748,0.863,72.8,34.5,2.779,2767894,1137109
557,318,46.0,0.46,0.747,0.843,123.3,56.0,2.681,2756722,1181954
558,850,122.4,1.22,0.747,0.851,341.9,159.8,2.793,2766756,1150405
559,1000,70.4,0.7,0.747,0.837,193.4,87.2,2.748,2798071,1131829
560,561,19.8,0.2,0.747,0.829,55.5,26.7,2.803,2736969,1167705
561,679,16.2,0.16,0.747,0.85,45.1,20.3,2.787,2749833,1161141
562,387,22.2,0.22,0.747,0.804,58.5,26.0,2.635,2758634,1178331
563,31,72.8,0.73,0.747,0.806,184.6,82.6,2.536,2771728,1208645
564,742,40.3,0.4,0.747,0.816,115.0,56.2,2.853,2796242,1158628
565,905,28.3,0.28,0.747,0.837,80.6,42.0,2.848,2758873,1144377
566,188,15.0,0.15,0.747,0.789,43.6,22.9,2.908,2822544,1190345
567,287,41.1,0.41,0.747,0.829,115.1,55.8,2.798,2805839,1184036
